"order_month","current_month_revenue","previous_month_revenue","mom_growth_percentage"
1996-08-01,25485.28,27861.90,-8.53
1996-09-01,26381.40,25485.28,3.52
1996-10-01,37515.72,26381.40,42.21
1996-11-01,45600.05,37515.72,21.55
1996-12-01,45239.63,45600.05,-0.79
1997-01-01,61258.07,45239.63,35.41
1997-02-01,38483.63,61258.07,-37.18
1997-03-01,38547.22,38483.63,0.17
1997-04-01,53032.95,38547.22,37.58
1997-05-01,53781.29,53032.95,1.41
1997-06-01,36362.80,53781.29,-32.39
1997-07-01,51020.86,36362.80,40.31
1997-08-01,47287.67,51020.86,-7.32
1997-09-01,55629.24,47287.67,17.64
1997-10-01,66749.23,55629.24,19.99
1997-11-01,43533.81,66749.23,-34.78
1997-12-01,71398.43,43533.81,64.01
1998-01-01,94222.11,71398.43,31.97
1998-02-01,99415.29,94222.11,5.51
1998-03-01,104854.16,99415.29,5.47
1998-04-01,123798.68,104854.16,18.07
1998-05-01,18333.63,123798.68,-85.19
